,timeDerrotado
0,"[96, 84, 46, 85, 39]"
1,"[58, 61, 21, 18, 14]"
2,"[74, 7, 42, 99, 88]"
3,"[2, 101, 32, 7, 72]"
4,"[98, 26, 73, 51, 46]"
5,"[27, 106, 33, 21, 93]"
6,"[86, 19, 74, 76, 67]"
7,"[68, 23, 2, 76, 39]"
8,"[112, 11, 39, 104, 101]"
9,"[9, 31, 12, 74, 21]"
10,"[68, 16, 67, 34, 99]"
11,"[26, 28, 11, 112, 8]"
12,"[34, 32, 31, 99, 70]"
13,"[83, 30, 106, 10, 11]"
14,"[9, 69, 74, 40, 8]"
15,"[14, 11, 1, 30, 41]"
16,"[112, 73, 105, 75, 30]"
17,"[7, 9, 21, 67, 11]"
18,"[8, 30, 7, 104, 106]"
19,"[62, 23, 1, 39, 55]"
20,"[53, 21, 59, 5, 37]"
21,"[10, 5, 39, 26, 19]"
22,"[2, 102, 10, 31, 106]"
23,"[102, 23, 67, 107, 35]"
24,"[55, 60, 56, 25, 69]"
25,"[1, 62, 39, 50, 88]"
26,"[87, 102, 100, 73, 8]"
27,"[26, 86, 41, 51, 23]"
28,"[23, 19, 57, 31, 21]"
29,"[8, 2, 74, 107, 9]"
30,"[44, 30, 85, 25, 55]"
31,"[86, 94, 25, 2, 14]"
32,"[46, 93, 7, 73, 39]"
33,"[85, 75, 47, 8, 41]"
34,"[30, 107, 74, 104, 86]"
35,"[4, 87, 74, 11, 1]"
36,"[9, 42, 110, 21, 100]"
37,"[98, 8, 25, 62, 85]"
38,"[73, 9, 8, 62, 21]"
39,"[46, 67, 28, 99, 5]"
40,"[11, 106, 70, 68, 27]"
41,"[106, 48, 51, 36, 27]"
42,"[62, 22, 104, 27, 93]"
43,"[21, 44, 64, 82, 75]"
44,"[1, 82, 99, 30, 7]"
45,"[102, 92, 2, 21, 86]"
46,"[21, 25, 110, 12, 62]"
47,"[1, 100, 11, 9, 30]"
48,"[104, 39, 47, 1, 50]"
49,"[46, 50, 84, 28, 4]"
50,"[81, 100, 36, 27, 21]"
51,"[14, 86, 99, 21, 18]"
52,"[73, 10, 112, 2, 33]"
53,"[85, 25, 62, 69, 21]"
54,"[106, 22, 97, 25, 56]"
55,"[48, 68, 4, 26, 42]"
56,"[7, 12, 112, 64, 16]"
57,"[50, 28, 91, 59, 49]"
58,"[30, 3, 16, 8, 61]"
59,"[11, 36, 29, 8, 87]"
60,"[39, 70, 21, 87, 71]"
61,"[60, 1, 107, 30, 74]"
62,"[112, 7, 21, 76, 106]"
63,"[39, 5, 81, 50, 46]"
64,"[75, 86, 73, 69, 95]"
65,"[91, 44, 106, 42, 67]"
66,"[26, 8, 73, 21, 30]"
67,"[45, 101, 38, 1, 23]"
68,"[73, 2, 75, 37, 10]"
69,"[45, 23, 2, 83, 71]"
70,"[21, 8, 7, 70, 3]"
71,"[9, 1, 62, 71, 54]"
72,"[83, 61, 48, 75, 2]"
73,"[69, 72, 51, 28, 79]"
74,"[8, 39, 31, 7, 77]"
75,"[106, 57, 43, 29, 2]"
