"file:/C:/Users/flavi/Google%20Drive/Doutorado/Ciencia%20de%20Redes/dotaComplementar.mat_2","interaction","name","selected","shared interaction","shared name"
"1.0","interacts with","Node 0 (interacts with) Node 23","false","interacts with","Node 0 (interacts with) Node 23"
"1.0","interacts with","Node 0 (interacts with) Node 107","false","interacts with","Node 0 (interacts with) Node 107"
"1.0","interacts with","Node 1 (interacts with) Node 112","false","interacts with","Node 1 (interacts with) Node 112"
"1.0","interacts with","Node 1 (interacts with) Node 23","false","interacts with","Node 1 (interacts with) Node 23"
"1.0","interacts with","Node 1 (interacts with) Node 107","false","interacts with","Node 1 (interacts with) Node 107"
"1.0","interacts with","Node 2 (interacts with) Node 112","false","interacts with","Node 2 (interacts with) Node 112"
"1.0","interacts with","Node 2 (interacts with) Node 23","false","interacts with","Node 2 (interacts with) Node 23"
"1.0","interacts with","Node 2 (interacts with) Node 107","false","interacts with","Node 2 (interacts with) Node 107"
"1.0","interacts with","Node 3 (interacts with) Node 112","false","interacts with","Node 3 (interacts with) Node 112"
"1.0","interacts with","Node 3 (interacts with) Node 23","false","interacts with","Node 3 (interacts with) Node 23"
"1.0","interacts with","Node 3 (interacts with) Node 107","false","interacts with","Node 3 (interacts with) Node 107"
"1.0","interacts with","Node 4 (interacts with) Node 112","false","interacts with","Node 4 (interacts with) Node 112"
"1.0","interacts with","Node 4 (interacts with) Node 23","false","interacts with","Node 4 (interacts with) Node 23"
"1.0","interacts with","Node 4 (interacts with) Node 107","false","interacts with","Node 4 (interacts with) Node 107"
"1.0","interacts with","Node 5 (interacts with) Node 112","false","interacts with","Node 5 (interacts with) Node 112"
"1.0","interacts with","Node 5 (interacts with) Node 23","false","interacts with","Node 5 (interacts with) Node 23"
"1.0","interacts with","Node 5 (interacts with) Node 107","false","interacts with","Node 5 (interacts with) Node 107"
"1.0","interacts with","Node 6 (interacts with) Node 23","false","interacts with","Node 6 (interacts with) Node 23"
"1.0","interacts with","Node 6 (interacts with) Node 107","false","interacts with","Node 6 (interacts with) Node 107"
"1.0","interacts with","Node 7 (interacts with) Node 23","false","interacts with","Node 7 (interacts with) Node 23"
